,Date,ID,IUI Number,IUI ART Number,ICI Number,ICI ART Number
387,2/28/22,6427,7,1,,1
388,2/28/22,6430,,,,
389,2/28/22,6434,,,,
390,2/28/22,6439,,,,
391,2/28/22,6440,,,,
392,2/28/22,6560,10,8,10,8
393,2/28/22,6565,10,0,10,0
394,2/28/22,6639,10,8,10,1
395,2/28/22,6683,0,1,0,1
396,2/28/22,6701,1,1,0,1
397,2/28/22,6706,,,,
398,2/28/22,6708,,,,
399,2/28/22,6709,,,,
400,2/28/22,6710,8,0,0,10
401,2/28/22,6716,,,,
402,2/28/22,6725,,,,
403,2/28/22,6729,,,,
404,2/28/22,6731,,,,
405,2/28/22,6739,0,0,10,1
406,2/28/22,6765,0,0,10,0
407,2/28/22,6802,,,,
408,2/28/22,6804,7,1,0,0
409,2/28/22,6882,0,0,0,0
410,2/28/22,6977,0,0,10,10
411,2/28/22,7391,1,1,10,10
412,2/28/22,7497,9,0,10,1
413,2/28/22,7887,0,0,6,0
414,2/28/22,8177,1,1,10,6
415,2/28/22,8302,0,0,10,1
416,2/28/22,8463,0,1,10,1
417,2/28/22,9364,1,0,0,0
418,2/28/22,9389,0,0,10,8
419,2/28/22,9658,10,0,10,0
420,2/28/22,9759,10,0,10,0
421,3/1/22,351,0,10,0,0
422,3/1/22,406,10,0,1,0
423,3/1/22,834,0,0,6,0
424,3/1/22,846,10,0,0,0
425,3/1/22,1862,0,1,0,0
426,3/1/22,1886,0,0,0,0
427,3/1/22,1904,0,0,0,1
428,3/1/22,1964,,0,7,0
429,3/1/22,1972,1,0,0,0
430,3/1/22,2045,0,0,1,0
431,3/1/22,2310,0,10,0,0
432,3/1/22,2342,0,1,0,0
433,3/1/22,2503,10,0,10,0
434,3/1/22,2553,10,1,0,0
435,3/1/22,2669,6,0,8,0
436,3/1/22,2751,,,,
437,3/1/22,2755,10,0,10,0
438,3/1/22,2766,,,,
439,3/1/22,2772,10,1,1,1
440,3/1/22,2773,,,1,
441,3/1/22,2812,10,0,0,0
442,3/1/22,2815,10,0,10,0
443,3/1/22,2835,10,0,10,0
444,3/1/22,2839,,1,,
445,3/1/22,2854,0,0,7,0
446,3/1/22,2882,0,1,0,0
447,3/1/22,2893,1,0,10,0
448,3/1/22,2954,1,0,0,0
449,3/1/22,2983,10,0,0,0
450,3/1/22,2990,10,0,10,0
451,3/1/22,2991,,,,
452,3/1/22,4053,10,0,10,0
453,3/1/22,4109,10,0,0,10
454,3/1/22,4140,10,0,10,0
455,3/1/22,4157,10,0,1,0
456,3/1/22,4180,0,0,1,0
457,3/1/22,4202,10,0,10,0
458,3/1/22,4203,0,0,0,0
459,3/1/22,4219,10,0,0,0
460,3/1/22,4228,0,1,0,0
461,3/1/22,4235,,,,
462,3/1/22,4250,,,,
463,3/1/22,4268,,,,
464,3/1/22,4287,10,8,1,1
465,3/1/22,4296,,0,0,0
466,3/1/22,4300,10,10,1,1
467,3/1/22,4308,7,0,1,0
468,3/1/22,4314,,,,
469,3/1/22,4321,10,1,0,0
470,3/1/22,4328,,,,
471,3/1/22,4337,10,10,0,0
472,3/1/22,4366,10,10,1,0
473,3/1/22,4409,10,0,10,0
474,3/1/22,4454,10,10,1,0
475,3/1/22,4456,10,0,10,0
476,3/1/22,4463,0,0,10,1
477,3/1/22,4473,1,0,1,1
478,3/1/22,4499,10,8,8,1
479,3/1/22,4552,10,0,10,1
480,3/1/22,4553,1,0,0,0
481,3/1/22,4554,1,0,0,0
482,3/1/22,4593,1,0,0,0
483,3/1/22,4600,10,0,10,0
484,3/1/22,4737,0,0,1,6
485,3/1/22,4760,,,,
486,3/1/22,4773,10,0,0,0
487,3/1/22,4778,,,,
488,3/1/22,4789,0,0,0,1
489,3/1/22,4814,10,1,10,8
490,3/1/22,4817,,,,
491,3/1/22,4834,1,0,0,0
492,3/1/22,4840,10,0,0,0
493,3/1/22,4846,0,0,0,6
494,3/1/22,4857,10,0,10,0
495,3/1/22,4871,,,,
496,3/1/22,4874,,,,
497,3/1/22,4881,10,0,0,0
498,3/1/22,4887,,,,
499,3/1/22,4929,10,10,0,0
500,3/1/22,4939,10,1,0,0
501,3/1/22,4941,,,,
502,3/1/22,4947,10,10,0,0
503,3/1/22,4951,,,,
504,3/1/22,4969,1,,,
505,3/1/22,4974,,,,
506,3/1/22,4977,10,10,0,0
507,3/1/22,5003,10,1,0,0
508,3/1/22,5011,10,10,0,0
509,3/1/22,5013,10,0,0,0
510,3/1/22,5025,10,0,0,0
511,3/1/22,5026,10,10,1,0
512,3/1/22,5039,1,0,0,0
513,3/1/22,5041,,,,
514,3/1/22,5042,10,0,1,0
515,3/1/22,5062,0,1,0,0
516,3/1/22,5067,10,10,6,0
517,3/1/22,5068,10,,,
518,3/1/22,5069,10,0,10,0
519,3/1/22,5071,1,0,0,0
520,3/1/22,5080,0,1,7,0
521,3/1/22,5092,,,,
522,3/1/22,5124,10,1,10,1
523,3/1/22,5145,10,0,6,6
524,3/1/22,5150,7,0,0,0
525,3/1/22,5153,10,0,10,
526,3/1/22,5155,0,1,0,0
527,3/1/22,5160,10,0,1,1
528,3/1/22,5164,10,1,9,0
529,3/1/22,5175,10,1,10,0
530,3/1/22,5179,,,,
531,3/1/22,5189,,,,
532,3/1/22,5191,10,0,1,0
533,3/1/22,5196,10,1,1,1
534,3/1/22,5221,,,,
535,3/1/22,5228,10,0,0,0
536,3/1/22,5235,10,0,0,0
537,3/1/22,5240,10,1,0,1
538,3/1/22,5245,10,0,0,1
539,3/1/22,5252,10,0,0,0
540,3/1/22,5285,,,,
541,3/1/22,5288,10,10,10,8
542,3/1/22,5289,10,,10,
543,3/1/22,5290,10,1,0,0
544,3/1/22,5298,10,10,0,1
545,3/1/22,5302,,,,
546,3/1/22,5307,10,0,10,0
547,3/1/22,5319,,,,
548,3/1/22,5334,10,0,0,0
549,3/1/22,5340,1,0,0,0
550,3/1/22,5342,10,1,0,0
551,3/1/22,5344,,,,
552,3/1/22,5346,10,10,1,10
553,3/1/22,5360,,,,
554,3/1/22,5376,10,8,10,1
555,3/1/22,5388,10,1,0,0
556,3/1/22,5390,0,0,0,0
557,3/1/22,5391,10,10,0,1
558,3/1/22,5395,10,10,0,0
559,3/1/22,5402,,,,
560,3/1/22,5406,,,,
561,3/1/22,5411,10,10,0,0
562,3/1/22,5413,10,0,0,0
563,3/1/22,5426,,,,
564,3/1/22,5427,9,10,0,0
565,3/1/22,5440,1,1,0,0
566,3/1/22,5446,1,0,0,0
567,3/1/22,5451,0,0,0,0
568,3/1/22,5472,,,,
569,3/1/22,5474,7,0,0,0
570,3/1/22,5475,10,0,10,0
571,3/1/22,5488,10,6,,0
572,3/1/22,5490,0,0,0,0
573,3/1/22,5493,,,,
574,3/1/22,5500,10,10,9,1
575,3/1/22,5502,0,1,1,0
576,3/1/22,5506,0,0,10,1
577,3/1/22,5511,10,1,10,0
578,3/1/22,5512,,,,
579,3/1/22,5514,8,0,10,0
580,3/1/22,5519,10,10,1,8
581,3/1/22,5523,,,,
582,3/1/22,5527,0,0,0,0
583,3/1/22,5528,0,0,0,0
584,3/1/22,5533,10,10,10,8
585,3/1/22,5535,,,,
586,3/1/22,5548,10,10,10,10
587,3/1/22,5551,10,10,7,10
588,3/1/22,5556,,0,0,0
589,3/1/22,5562,,,,
590,3/1/22,5563,10,10,10,10
591,3/1/22,5573,,,,
592,3/1/22,5575,,,,
593,3/1/22,5578,,,,
594,3/1/22,5583,10,10,0,0
595,3/1/22,5585,,0,0,0
596,3/1/22,5586,1,10,8,10
597,3/1/22,5587,,,,
598,3/1/22,5589,,,,
599,3/1/22,5590,1,1,0,0
600,3/1/22,5595,10,10,10,6
601,3/1/22,5596,,,,
602,3/1/22,5612,1,1,0,0
603,3/1/22,5617,1,,,
604,3/1/22,5619,6,8,10,10
605,3/1/22,5621,10,1,0,0
606,3/1/22,5623,1,6,7,10
607,3/1/22,5626,0,0,0,0
608,3/1/22,5633,1,,,
609,3/1/22,5644,1,,,
610,3/1/22,5655,,0,0,0
611,3/1/22,5662,0,0,0,0
612,3/1/22,5664,0,0,1,0
613,3/1/22,5672,,,,
614,3/1/22,5674,,,,
615,3/1/22,5677,10,1,9,6
616,3/1/22,5684,10,1,1,1
617,3/1/22,5685,10,0,1,1
618,3/1/22,5690,10,1,10,0
619,3/1/22,5698,10,0,0,10
620,3/1/22,5712,10,1,0,0
621,3/1/22,5716,0,0,0,0
622,3/1/22,5718,0,0,0,0
623,3/1/22,5720,0,0,0,0
624,3/1/22,5734,,,,
625,3/1/22,5735,0,0,0,0
626,3/1/22,5737,,,,
627,3/1/22,5741,10,1,0,0
628,3/1/22,5742,,,,
629,3/1/22,5752,,,,
630,3/1/22,5754,10,0,0,0
631,3/1/22,5757,,,,
632,3/1/22,5759,,0,0,0
633,3/1/22,5765,,0,0,0
634,3/1/22,5770,10,10,0,0
635,3/1/22,5772,,,,
636,3/1/22,5774,,,,
637,3/1/22,5787,10,1,0,0
638,3/1/22,5788,10,0,9,0
639,3/1/22,5793,0,0,1,0
640,3/1/22,5794,,,,
641,3/1/22,5795,10,0,0,0
642,3/1/22,5800,0,10,1,10
643,3/1/22,5813,10,0,,0
644,3/1/22,5821,10,0,10,0
645,3/1/22,5833,10,1,10,1
646,3/1/22,5834,9,10,10,10
647,3/1/22,5842,,,,
648,3/1/22,5843,,0,6,1
649,3/1/22,5852,10,10,10,10
650,3/1/22,5854,,,,
651,3/1/22,5855,,,,
652,3/1/22,5858,0,0,0,0
653,3/1/22,5861,0,0,10,10
654,3/1/22,5864,,,,1
655,3/1/22,5866,10,10,10,10
656,3/1/22,5868,0,0,0,0
657,3/1/22,5877,,,,
658,3/1/22,5883,,,,
659,3/1/22,5904,0,0,1,0
660,3/1/22,5905,,,,
661,3/1/22,5906,10,10,1,8
662,3/1/22,5907,1,1,0,0
663,3/1/22,5912,10,8,6,0
664,3/1/22,5919,,,,
665,3/1/22,5921,0,0,0,0
666,3/1/22,5924,,,,
667,3/1/22,5930,0,1,0,0
668,3/1/22,5931,10,10,0,0
669,3/1/22,5972,0,0,10,0
670,3/1/22,6004,,,,
671,3/1/22,6007,10,10,10,1
672,3/1/22,6008,10,0,10,1
673,3/1/22,6016,,,,
674,3/1/22,6022,,,,
675,3/1/22,6025,1,1,1,0
676,3/1/22,6027,,,,
677,3/1/22,6033,10,1,10,0
678,3/1/22,6036,,,,
679,3/1/22,6039,10,1,0,
680,3/1/22,6042,0,0,0,0
681,3/1/22,6047,10,10,10,0
682,3/1/22,6049,,,,
683,3/1/22,6056,0,0,0,0
684,3/1/22,6059,10,8,10,0
685,3/1/22,6064,,,,
686,3/1/22,6065,,1,0,0
687,3/1/22,6066,1,,1,
688,3/1/22,6067,10,1,10,6
689,3/1/22,6071,10,0,0,0
690,3/1/22,6073,,,6,
691,3/1/22,6074,,1,,1
692,3/1/22,6075,0,0,6,0
693,3/1/22,6077,,,,
694,3/1/22,6079,10,0,1,0
695,3/1/22,6087,10,10,10,10
696,3/1/22,6098,0,0,0,0
697,3/1/22,6099,,,,
698,3/1/22,6101,10,6,10,1
699,3/1/22,6105,10,0,0,0
700,3/1/22,6108,,,,
701,3/1/22,6118,,,,
702,3/1/22,6120,,,,
703,3/1/22,6123,,,,
704,3/1/22,6127,,,,
705,3/1/22,6129,,,,
706,3/1/22,6132,,,,
707,3/1/22,6134,1,0,0,0
708,3/1/22,6137,,,,
709,3/1/22,6141,,,,
710,3/1/22,6142,,,,
711,3/1/22,6146,10,,,
712,3/1/22,6151,,,,
713,3/1/22,6152,1,10,,0
714,3/1/22,6156,0,0,0,0
715,3/1/22,6162,,,,
716,3/1/22,6163,,,,
717,3/1/22,6166,10,1,0,0
718,3/1/22,6171,1,1,10,8
719,3/1/22,6174,,,,
720,3/1/22,6176,,,,
721,3/1/22,6177,,,,
722,3/1/22,6179,0,0,0,0
723,3/1/22,6182,,,,
724,3/1/22,6184,0,1,0,0
725,3/1/22,6188,1,,,6
726,3/1/22,6189,10,10,0,0
727,3/1/22,6190,,,,
728,3/1/22,6191,10,,,
729,3/1/22,6194,,,,
730,3/1/22,6197,,,,
731,3/1/22,6199,10,0,0,0
732,3/1/22,6203,10,10,6,1
733,3/1/22,6207,1,0,1,0
734,3/1/22,6213,10,10,0,8
735,3/1/22,6222,,,,
736,3/1/22,6224,0,0,1,0
737,3/1/22,6228,10,1,9,1
738,3/1/22,6230,,0,0,0
739,3/1/22,6232,,,,
740,3/1/22,6239,,,,
741,3/1/22,6240,,0,0,0
742,3/1/22,6243,,,,
743,3/1/22,6248,,,10,1
744,3/1/22,6258,1,0,0,0
745,3/1/22,6259,,,,
746,3/1/22,6261,,,,
747,3/1/22,6263,,,,
748,3/1/22,6266,,,,
749,3/1/22,6269,,,,
750,3/1/22,6276,,,,
751,3/1/22,6277,,,,
752,3/1/22,6279,,,,
753,3/1/22,6280,10,6,1,10
754,3/1/22,6281,10,10,10,10
755,3/1/22,6283,,,,8
756,3/1/22,6288,0,0,0,0
757,3/1/22,6289,,0,6,10
758,3/1/22,6292,,,,
759,3/1/22,6293,0,0,0,0
760,3/1/22,6294,10,6,1,1
761,3/1/22,6296,1,1,,1
762,3/1/22,6299,1,1,0,0
763,3/1/22,6300,,,,
764,3/1/22,6302,,,,
765,3/1/22,6305,8,6,0,0
766,3/1/22,6307,0,0,0,0
767,3/1/22,6308,0,0,0,0
768,3/1/22,6316,1,1,0,0
769,3/1/22,6321,,,,
770,3/1/22,6322,,0,0,0
771,3/1/22,6325,,,,
772,3/1/22,6327,10,0,0,0
773,3/1/22,6331,10,10,10,1
774,3/1/22,6333,10,1,0,0
775,3/1/22,6334,,,,
776,3/1/22,6336,1,0,1,0
777,3/1/22,6338,,,,
778,3/1/22,6341,10,0,0,0
779,3/1/22,6342,,,,
780,3/1/22,6344,10,1,0,0
781,3/1/22,6345,,,,
782,3/1/22,6346,,,,
783,3/1/22,6347,10,6,0,0
784,3/1/22,6351,8,1,0,0
785,3/1/22,6352,,,,
786,3/1/22,6354,,,,
787,3/1/22,6356,,,,
788,3/1/22,6357,10,,10,
789,3/1/22,6359,,,,
790,3/1/22,6362,,,,
